职位,薪资,工作时间,公司,工作地点,所在城市
高级广告算法工程师,25k-50k,3-5年,杭州兑吧网络科技有限公司,杭州市文一西路98号数娱大厦7楼,杭州
推理引擎算法工程师,30k-60k,不限,北京三快在线科技有限公司,望京东路科创大厦,北京
GIS高级算法工程师,25k-40k,3-5年,丰疆智能（深圳）有限公司,凤游寺悦动新门西,南京
算法工程师（新能源功率预测（气象）方向）,20k-30k,3-5年,亿可能源科技（上海）有限公司,保辉国际A座6楼,上海
三维智能分析算法工程师,25k-50k,3-5年,深圳市其域创新科技有限公司,彩讯科创,深圳
算法工程师,8k-15k,在校/应届,浙江创邻科技有限公司,浙大森林智汇众创中心E2幢12层,杭州
高级推荐算法工程师,35k-50k,5-10年,北京快看世界信息技术有限公司,中海国际,北京
ai 算法工程师（视频图像识别方向）,15k-20k,1-3年,广州市坤盛信息科技有限公司,中山大道西89号华景新城华景软件园A栋11楼北9-17号,广州
ai算法工程师(j10132),20k-30k,1-3年,联通数字科技有限公司,凤游寺路52号悦动新门西17栋,南京
图像算法及AI应用工程师(J11028),10k-20k,在校/应届,联通数字科技有限公司,北京市海淀区农大南路1号硅谷亮城3A,北京
AI语音语义算法工程师(J11055),15k-30k,不限,联通数字科技有限公司,和平里西街51号 雍和宫壹中心,北京
算法工程师（CV方向）,25k-40k,1-3年,特赞（上海）信息科技有限公司,星扬西岸中心21层,上海
图像算法工程师,30k-50k,3-5年,特赞（上海）信息科技有限公司,星扬西岸中心21层,上海
nlp算法工程师,25k-50k,3-5年,特赞（上海）信息科技有限公司,星扬西岸中心21层,上海
高级NLP算法工程师,25k-50k,3-5年,特赞（上海）信息科技有限公司,星扬西岸中心21层,上海
LE4742-PTBU-搜索算法工程师/高级搜索算法工程师,35k-50k,不限,广州酷狗计算机科技有限公司,羊城创意园内自编118号,广州
中级图像算法工程师,15k-30k,1-3年,杭州大名软件有限公司,华星时代广场,杭州
三维重建算法工程师（校招）,20k-30k,在校/应届,深圳市其域创新科技有限公司,留学生创业大厦,深圳
视觉算法工程师（校招）,20k-30k,在校/应届,深圳市其域创新科技有限公司,留学生创业大厦,深圳
高级算法工程师（风控方向） (MJ007335),35k-55k,3-5年,广州希音供应链管理有限公司,软件大道170-1天溯科技园5号楼7 8 9 10 12 15层,南京
视觉算法研发工程师,12k-24k,不限,杭州墨圜科技有限公司,博地中心,杭州
nlp算法工程师实习生,3k-4k,在校/应届,润欣商业投资（深圳）有限公司,华润置地大厦B座,深圳
室内定位算法工程师(实习生),5k-8k,在校/应届,深圳市其域创新科技有限公司,彩讯科创,深圳
推荐算法工程师,12k-20k,1年以下,北京莲藕教育科技有限公司,创立方自空间G栋,北京
